Evento 	Fecha 	Hora 	Lat 	Long 	Prof.					
(km) 	Int 	Mag 	Tipo Mag 	LocalizaciÛn 	info					
291263	25/10/2001	8:09:47	28.2457	-16.3697	4		2	2	E FASNIA.ITF 	[+] info
292276	01/11/2001	23:30:14	28.1403	-16.2867	-999		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
292281	02/11/2001	1:24:15	28.1375	-16.2171	-999		2.7	2	ATL¡NTICO-CANARIAS 	[+] info
369058	06/11/2001	0:34:53	28.0686	-16.2022	-999		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
292791	06/11/2001	2:48:36	28.0462	-16.2119	30		3	2	ATL¡NTICO-CANARIAS 	[+] info
292895	07/11/2001	1:26:22	28.2865	-16.4282	-999		2.3	2	SW G‹ÕMAR.ITF 	[+] info
293751	16/11/2001	20:09:36	28.0739	-16.2026	29		2	2	ATL¡NTICO-CANARIAS 	[+] info
294896	25/11/2001	4:49:34	28.8193	-15.8636	26		2.9	2	ATL¡NTICO-CANARIAS 	[+] info
295397	27/11/2001	19:56:02	28.1171	-16.228	-999		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
295559	29/11/2001	0:23:43	28.449	-16.7762	-999		2.4	2	N GARACHICO.ITF 	[+] info
297011	08/12/2001	1:36:50	27.6332	-16.4608	1		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
297810	12/12/2001	23:27:06	28.5501	-16.6599	6		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
300301	02/01/2002	14:27:35	28.2155	-16.3291	-999		3.1	2	E FASNIA.ITF 	[+] info
302823	16/01/2002	4:53:56	28.1888	-16.3065	3		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
304965	26/01/2002	6:33:33	28.1275	-16.2926	1		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
313266	11/02/2002	12:31:48	28.189	-16.2141	28		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
310788	12/02/2002	20:29:29	28.1076	-16.2125	-999		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
311025	14/02/2002	1:23:36	28.0535	-16.1743	-999		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
313260	23/02/2002	6:48:04	28.3436	-16.4042	-999		2.5	2	NE ARAFO.ITF 	[+] info
313438	24/02/2002	6:04:51	28.1272	-16.2084	-999		1.7	2	ATL¡NTICO-CANARIAS 	[+] info
313472	24/02/2002	12:09:48	28.171	-16.2423	-999		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
316276	01/03/2002	5:36:20	28.0883	-16.1538	-999		1.9	4	ATL¡NTICO-CANARIAS 	[+] info
317258	02/03/2002	2:38:04	28.1625	-16.1549	-999		1.7	4	ATL¡NTICO-CANARIAS 	[+] info
317173	06/03/2002	16:35:00	28.2529	-16.1718	-999		1.6	4	ATL¡NTICO-CANARIAS 	[+] info
317213	07/03/2002	2:08:05	28.0913	-16.2388	13		2.2	4	ATL¡NTICO-CANARIAS 	[+] info
320222	15/03/2002	4:29:30	28.1701	-16.189	-999		1.3	4	ATL¡NTICO-CANARIAS 	[+] info
321606	20/03/2002	14:38:11	28.1297	-16.2237	26		1.5	4	ATL¡NTICO-CANARIAS 	[+] info
321258	23/03/2002	3:03:44	28.0877	-16.1751	-999		2.4	4	ATL¡NTICO-CANARIAS 	[+] info
325214	12/04/2002	1:26:30	28.1489	-16.1358	-999		1.3	4	ATL¡NTICO-CANARIAS 	[+] info
329475	30/04/2002	16:01:38	28.0913	-16.1954	8		1.9	4	ATL¡NTICO-CANARIAS 	[+] info
329959	09/05/2002	2:48:36	28.223	-16.3818	-999		1.4	4	SE FASNIA.ITF 	[+] info
330118	10/05/2002	1:14:03	28.1041	-16.1532	28		2	4	ATL¡NTICO-CANARIAS 	[+] info
331369	18/05/2002	2:25:14	28.1565	-16.269	9		2.1	4	ATL¡NTICO-CANARIAS 	[+] info
332987	02/06/2002	12:45:46	28.2284	-16.1742	-999		1.3	4	ATL¡NTICO-CANARIAS 	[+] info
333382	04/06/2002	23:12:37	28.0338	-16.1758	13		2.3	4	ATL¡NTICO-CANARIAS 	[+] info
334142	11/06/2002	3:50:47	28.1423	-16.2006	-999		1.2	4	ATL¡NTICO-CANARIAS 	[+] info
334784	15/06/2002	18:59:23	28.0962	-16.1546	-999		1.6	4	ATL¡NTICO-CANARIAS 	[+] info
335924	21/06/2002	14:51:10	28.0876	-16.1535	-999		2.5	4	ATL¡NTICO-CANARIAS 	[+] info
335927	21/06/2002	22:29:19	28.1031	-15.7671	30		2.1	4	W AGAETE.IGC 	[+] info
337792	03/07/2002	19:07:32	28.1061	-16.1266	5		1.6	4	ATL¡NTICO-CANARIAS 	[+] info
338133	06/07/2002	11:41:01	28.117	-16.2013	-999		1.5	4	ATL¡NTICO-CANARIAS 	[+] info
338475	09/07/2002	0:47:33	28.1828	-16.1432	-999		1.3	4	ATL¡NTICO-CANARIAS 	[+] info
338784	11/07/2002	7:30:18	28.0916	-16.178	20		2.1	4	ATL¡NTICO-CANARIAS 	[+] info
